country,year,nitrous_oxide,agricultural_land,greenhouse_gas_emissions,population_growth,GDP,renewable_electricity,total_population,forest_area,alternative_energy,expenses
Aruba,2020,,,,,,,,,,
Aruba,2019,,,,,,,,,,
Aruba,2018,,,,,,,,,,
Aruba,2017,,,,,,,,,,
Aruba,2016,,,,,,,,,,
Aruba,2015,,,,,,,,,,
Aruba,2014,,,,,,,,,,
Aruba,2013,,,,,,,,,,
Aruba,2012,,,,,,,,,,
Aruba,2011,,,,,,,,,,
Aruba,2010,,,,,,,,,,
Aruba,2009,,,,,,,,,,
Aruba,2008,,,,,,,,,,
Aruba,2007,,,,,,,,,,
Aruba,2006,,,,,,,,,,
Aruba,2005,,,,,,,,,,
Aruba,2004,,,,,,,,,,
Aruba,2003,,,,,,,,,,
Aruba,2002,,,,,,,,,,
Aruba,2001,,,,,,,,,,
Aruba,2000,,,,,,,,,,
Aruba,1999,,,,,,,,,,
Aruba,1998,,,,,,,,,,
Aruba,1997,,,,,,,,,,
Aruba,1996,,,,,,,,,,
Aruba,1995,,,,,,,,,,
Aruba,1994,,,,,,,,,,
Aruba,1993,,,,,,,,,,
Aruba,1992,,,,,,,,,,
Aruba,1991,,,,,,,,,,
Aruba,1990,,,,,,,,,,
Bahrain,2020,171.638398,,,,,,,,,
Bahrain,2019,181.304702,,,,,,,,,
Bahrain,2018,179.596206,,,,,,,,,
Bahrain,2017,173.13151,,,,,,,,,
Bahrain,2016,161.617414,,,,,,,,,
Bahrain,2015,147.957117,,,,,,,,,
Bahrain,2014,132.563275,,,,,,,,,
Bahrain,2013,128.531832,,,,,,,,,
Bahrain,2012,124.832189,,,,,,,,,
Bahrain,2011,118.711347,,,,,,,,,
Bahrain,2010,126.358504,,,,,,,,,
Bahrain,2009,112.939415,,,,,,,,,
Bahrain,2008,117.952727,,,,,,,,,
Bahrain,2007,105.607638,,,,,,,,,
Bahrain,2006,105.152149,,,,,,,,,
Bahrain,2005,99.62866,,,,,,,,,
Bahrain,2004,91.540928,,,,,,,,,
Bahrain,2003,88.478996,,,,,,,,,
Bahrain,2002,86.300464,,,,,,,,,
Bahrain,2001,67.608732,,,,,,,,,
Bahrain,2000,65.9574,,,,,,,,,
Bahrain,1999,63.794765,,,,,,,,,
Bahrain,1998,65.23733,,,,,,,,,
Bahrain,1997,60.273495,,,,,,,,,
Bahrain,1996,57.936059,,,,,,,,,
Bahrain,1995,55.383424,,,,,,,,,
Bahrain,1994,55.064817,,,,,,,,,
Bahrain,1993,54.499211,,,,,,,,,
Bahrain,1992,53.840204,,,,,,,,,
Bahrain,1991,50.508397,,,,,,,,,
Bahrain,1990,50.293791,,,,,,,,,
Costa Rica,2020,1875.797079,,,,,,,,,
Costa Rica,2019,1988.550226,,,,,,,,,
Costa Rica,2018,1972.501572,,,,,,,,,
Costa Rica,2017,1896.102719,,,,,,,,,
Costa Rica,2016,1920.615865,,,,,,,,,
Costa Rica,2015,1790.451012,,,,,,,,,
Costa Rica,2014,1736.748596,,,,,,,,,
Costa Rica,2013,1809.60358,,,,,,,,,
Costa Rica,2012,1778.619365,,,,,,,,,
Costa Rica,2011,1836.129949,,,,,,,,,
Costa Rica,2010,1620.658133,,,,,,,,,
Costa Rica,2009,1497.134317,,,,,,,,,
Costa Rica,2008,1713.8929,,,,,,,,,
Costa Rica,2007,1627.474883,,,,,,,,,
Costa Rica,2006,1531.156267,,,,,,,,,
Costa Rica,2005,1506.29605,,,,,,,,,
Costa Rica,2004,1439.006625,,,,,,,,,
Costa Rica,2003,1541.180199,,,,,,,,,
Costa Rica,2002,1417.267574,,,,,,,,,
Costa Rica,2001,1428.786549,,,,,,,,,
Costa Rica,2000,1540.611123,,,,,,,,,
Costa Rica,1999,1641.308992,,,,,,,,,
Costa Rica,1998,1836.617861,,,,,,,,,
Costa Rica,1997,1793.90553,,,,,,,,,
Costa Rica,1996,1751.062399,,,,,,,,,
Costa Rica,1995,1513.946868,,,,,,,,,
Costa Rica,1994,1620.191831,,,,,,,,,
Costa Rica,1993,1651.188994,,,,,,,,,
Costa Rica,1992,1677.823557,,,,,,,,,
Costa Rica,1991,1664.29392,,,,,,,,,
Costa Rica,1990,1622.765883,,,,,,,,,
Eritrea,2020,1730.462791,,,,,,,,,
Eritrea,2019,1719.642553,,,,,,,,,
Eritrea,2018,1712.385715,,,,,,,,,
Eritrea,2017,1693.924078,,,,,,,,,
Eritrea,2016,1683.42364,,,,,,,,,
Eritrea,2015,1665.954003,,,,,,,,,
Eritrea,2014,1657.483747,,,,,,,,,
Eritrea,2013,1648.513491,,,,,,,,,
Eritrea,2012,1633.995836,,,,,,,,,
Eritrea,2011,1629.17378,,,,,,,,,
Eritrea,2010,1557.671125,,,,,,,,,
Eritrea,2009,1594.799102,,,,,,,,,
Eritrea,2008,1586.669479,,,,,,,,,
Eritrea,2007,1604.054656,,,,,,,,,
Eritrea,2006,1491.013834,,,,,,,,,
Eritrea,2005,1546.543011,,,,,,,,,
Eritrea,2004,1504.134536,,,,,,,,,
Eritrea,2003,1492.81966,,,,,,,,,
Eritrea,2002,1454.545385,,,,,,,,,
Eritrea,2001,1481.06291,,,,,,,,,
Eritrea,2000,1631.833834,,,,,,,,,
Eritrea,1999,1566.93652,,,,,,,,,
Eritrea,1998,1527.707606,,,,,,,,,
Eritrea,1997,1452.581492,,,,,,,,,
Eritrea,1996,1264.897578,,,,,,,,,
Eritrea,1995,1086.684064,,,,,,,,,
Eritrea,1994,1071.916873,,,,,,,,,
Eritrea,1993,1042.590082,,,,,,,,,
Eritrea,1992,1272.11368,,,,,,,,,
Eritrea,1991,1217.557819,,,,,,,,,
Eritrea,1990,1219.710322,,,,,,,,,
Faroe Islands,2020,,,,,,,,,,
Faroe Islands,2019,,,,,,,,,,
Faroe Islands,2018,,,,,,,,,,
Faroe Islands,2017,,,,,,,,,,
Faroe Islands,2016,,,,,,,,,,
Faroe Islands,2015,,,,,,,,,,
Faroe Islands,2014,,,,,,,,,,
Faroe Islands,2013,,,,,,,,,,
Faroe Islands,2012,,,,,,,,,,
Faroe Islands,2011,,,,,,,,,,
Faroe Islands,2010,,,,,,,,,,
Faroe Islands,2009,,,,,,,,,,
Faroe Islands,2008,,,,,,,,,,
Faroe Islands,2007,,,,,,,,,,
Faroe Islands,2006,,,,,,,,,,
Faroe Islands,2005,,,,,,,,,,
Faroe Islands,2004,,,,,,,,,,
Faroe Islands,2003,,,,,,,,,,
Faroe Islands,2002,,,,,,,,,,
Faroe Islands,2001,,,,,,,,,,
Faroe Islands,2000,,,,,,,,,,
Faroe Islands,1999,,,,,,,,,,
Faroe Islands,1998,,,,,,,,,,
Faroe Islands,1997,,,,,,,,,,
Faroe Islands,1996,,,,,,,,,,
Faroe Islands,1995,,,,,,,,,,
Faroe Islands,1994,,,,,,,,,,
Faroe Islands,1993,,,,,,,,,,
Faroe Islands,1992,,,,,,,,,,
Faroe Islands,1991,,,,,,,,,,
Faroe Islands,1990,,,,,,,,,,
Latvia,2020,2353.803838,,,,,,,,,
Latvia,2019,2318.54837,,,,,,,,,
Latvia,2018,2216.030102,,,,,,,,,
Latvia,2017,2284.600835,,,,,,,,,
Latvia,2016,2295.449167,,,,,,,,,
Latvia,2015,2320.807317,,,,,,,,,
Latvia,2014,2245.647142,,,,,,,,,
Latvia,2013,2203.24751,,,,,,,,,
Latvia,2012,2183.141488,,,,,,,,,
Latvia,2011,2113.961965,,,,,,,,,
Latvia,2010,2087.353136,,,,,,,,,
Latvia,2009,2062.588161,,,,,,,,,
Latvia,2008,2060.404703,,,,,,,,,
Latvia,2007,2017.954807,,,,,,,,,
Latvia,2006,1952.629174,,,,,,,,,
Latvia,2005,1930.695676,,,,,,,,,
Latvia,2004,1876.922335,,,,,,,,,
Latvia,2003,1884.792017,,,,,,,,,
Latvia,2002,1807.415381,,,,,,,,,
Latvia,2001,1806.973554,,,,,,,,,
Latvia,2000,1775.235324,,,,,,,,,
Latvia,1999,1798.318795,,,,,,,,,
Latvia,1998,1805.01722,,,,,,,,,
Latvia,1997,1759.785511,,,,,,,,,
Latvia,1996,1752.27583,,,,,,,,,
Latvia,1995,1733.509556,,,,,,,,,
Latvia,1994,1972.843292,,,,,,,,,
Latvia,1993,2329.068525,,,,,,,,,
Latvia,1992,2670.639404,,,,,,,,,
Latvia,1991,2741.983821,,,,,,,,,
Latvia,1990,2903.234555,,,,,,,,,
Paraguay,2020,11255.77989,,,,,,,,,
Paraguay,2019,10380.294,,,,,,,,,
Paraguay,2018,10079.14532,,,,,,,,,
Paraguay,2017,10950.21363,,,,,,,,,
Paraguay,2016,10126.83635,,,,,,,,,
Paraguay,2015,10014.58547,,,,,,,,,
Paraguay,2014,10180.00057,,,,,,,,,
Paraguay,2013,9934.736065,,,,,,,,,
Paraguay,2012,9213.983163,,,,,,,,,
Paraguay,2011,9158.406861,,,,,,,,,
Paraguay,2010,8740.377559,,,,,,,,,
Paraguay,2009,8002.908845,,,,,,,,,
Paraguay,2008,7820.183932,,,,,,,,,
Paraguay,2007,8504.329618,,,,,,,,,
Paraguay,2006,7517.722304,,,,,,,,,
Paraguay,2005,7528.53959,,,,,,,,,
Paraguay,2004,7064.438063,,,,,,,,,
Paraguay,2003,7811.155535,,,,,,,,,
Paraguay,2002,7171.032408,,,,,,,,,
Paraguay,2001,7276.295081,,,,,,,,,
Paraguay,2000,6293.514353,,,,,,,,,
Paraguay,1999,6430.381806,,,,,,,,,
Paraguay,1998,6181.027859,,,,,,,,,
Paraguay,1997,6094.348512,,,,,,,,,
Paraguay,1996,6034.693765,,,,,,,,,
Paraguay,1995,6495.585618,,,,,,,,,
Paraguay,1994,6122.0996,,,,,,,,,
Paraguay,1993,7618.3418,,,,,,,,,
Paraguay,1992,8965.1672,,,,,,,,,
Paraguay,1991,10592.0354,,,,,,,,,
Paraguay,1990,12702.2474,,,,,,,,,
French Polynesia,2020,,,,,,,,,,
French Polynesia,2019,,,,,,,,,,
French Polynesia,2018,,,,,,,,,,
French Polynesia,2017,,,,,,,,,,
French Polynesia,2016,,,,,,,,,,
French Polynesia,2015,,,,,,,,,,
